Time,south_north,west_east,hgt,lat,lon
1,1,1,0,-41.1476745605469,-75.2201538085938
1,1,2,0,-41.1568717956543,-75.1033020019531
1,1,3,0,-41.1659736633301,-74.9863891601563
1,1,4,0,-41.174976348877,-74.8695068359375
1,1,5,0,-41.1838989257813,-74.7525634765625
1,1,6,0,-41.1927223205566,-74.6355895996094
1,1,7,0,-41.2014579772949,-74.5185852050781
1,1,8,0,-41.2101020812988,-74.4015808105469
1,1,9,0,-41.2186393737793,-74.2845458984375
1,1,10,0,-41.2270927429199,-74.16748046875
1,1,11,0,-41.2354545593262,-74.0504150390625
1,1,12,46.1244201660156,-41.2437324523926,-73.9332885742188
1,1,13,232.392776489258,-41.251895904541,-73.816162109375
1,1,14,302.645843505859,-41.2599868774414,-73.6990051269531
1,1,15,204.628707885742,-41.2679710388184,-73.5818481445313
1,1,16,134.527801513672,-41.2758674621582,-73.4646301269531
1,1,17,133.094696044922,-41.2836723327637,-73.347412109375
1,1,18,130.945922851563,-41.2913818359375,-73.2301635742188
1,1,19,104.732147216797,-41.2990074157715,-73.1129150390625
1,1,20,85.1434631347656,-41.3065338134766,-72.99560546875
1,1,21,93.5917358398438,-41.3139572143555,-72.8783264160156
1,1,22,286.615173339844,-41.3212966918945,-72.760986328125
1,1,23,550.291137695313,-41.328540802002,-72.6436462402344
1,1,24,595.629272460938,-41.335693359375,-72.5262756347656
1,1,25,556.654052734375,-41.3427581787109,-72.4088745117188
1,1,26,656.033935546875,-41.349723815918,-72.2914733886719
1,1,27,915.7646484375,-41.3565940856934,-72.174072265625
1,1,28,1098.24975585938,-41.3633804321289,-72.0566101074219
1,1,29,1154.91125488281,-41.370059967041,-71.9391479492188
1,1,30,1169.47436523438,-41.3766593933106,-71.8216552734375
1,1,31,1146.92749023438,-41.3831596374512,-71.7041625976563
1,1,32,1201.85668945313,-41.3895645141602,-71.5866394042969
1,1,33,1414.55297851563,-41.3958778381348,-71.4691162109375
1,1,34,1627.39733886719,-41.4021034240723,-71.3515625
1,1,35,1601.294921875,-41.4082298278809,-71.2339782714844
1,1,36,1418.43334960938,-41.4142646789551,-71.1163940429688
1,1,37,1243.61022949219,-41.4202041625977,-70.998779296875
1,1,38,1132.07824707031,-41.4260520935059,-70.8811645507813
1,1,39,1110.50415039063,-41.4318084716797,-70.7635192871094
1,1,40,1147.02624511719,-41.4374732971191,-70.6458740234375
1,1,41,1190.9140625,-41.4430351257324,-70.5281982421875
1,1,42,1289.20361328125,-41.4485130310059,-70.4105224609375
1,1,43,1421.87573242188,-41.4538917541504,-70.2927856445313
1,1,44,1457.5087890625,-41.4591903686523,-70.1750793457031
1,1,45,1371.41857910156,-41.4643783569336,-70.0573425292969
1,1,46,1198.00512695313,-41.4694747924805,-69.9396057128906
1,1,47,1051.74011230469,-41.474494934082,-69.8218383789063
1,1,48,1087.24987792969,-41.4794006347656,-69.7040710449219
1,1,49,1146.19970703125,-41.4842262268066,-69.5862731933594
1,1,50,1034.49206542969,-41.4889526367188,-69.4684753417969
1,1,51,948.904907226563,-41.4935874938965,-69.3506469726563
1,1,52,998.088012695312,-41.4981307983398,-69.2328491210938
1,1,53,1084.162109375,-41.502571105957,-69.114990234375
1,1,54,1115.15551757812,-41.5069351196289,-68.9971313476563
1,1,55,1038.33618164062,-41.5111999511719,-68.8792724609375
1,1,56,953.689086914063,-41.5153541564941,-68.7614135742188
1,1,57,962.0146484375,-41.5194320678711,-68.6434936523438
1,1,58,1031.32177734375,-41.5234107971191,-68.5256042480469
1,1,59,1065.25463867188,-41.5273056030274,-68.40771484375
