id;name;country;wmo_id;elevation;lat;lon
11004;Gualeguaychu Aero;Argentina;87497;21;-33.02;-58.52
11018;Anguil;Argentina;87624;165;-36.5;-63.98
11028;Bella Vista;Argentina;87276;70;-28.43;-58.92
11034;Pergamino;Argentina;87484;65;-33.93;-60.55
11038;Tacaagle;Argentina;;;-24.98;-58.82
11037;Laguna Yema;Argentina;;;-24.25;-61.24
11003;Corrientes;Argentina;;57;-27.65;-58.77
11035;Reconquista;Argentina;0;42;-29.18;-59.17
11019;Manfredi;Argentina;;292;-31.82;-63.77
11029;Concepcion del Uruguay;Argentina;87494;25;-31.3;-58.23
11014;Tandil;Argentina;87645;175;-37.2;-59.15
11016;Azul;Argentina;87641;132;-36.75;-59.85
11031;General Pico;Argentina;87497;143;-36.5;-63.75
11021;Venado Tuerto;Argentina;87468;65;-33.75;-61.97
11032;Laboulaye Aero;Argentina;87534;137;-34.1;-63.37
10006;;Argentina;;;-24.0;-62.0
10107;;Argentina;;;-31.0;-64.0
10067;;Argentina;;;-28.0;-58.0
10170;;Argentina;;;-34.0;-57.0
10179;;Argentina;;;-35.3;-69.35
10185;;Argentina;;;-35.0;-62.0
10206;;Argentina;;;-37.0;-62.0
10216;;Argentina;;;-38.19;-60.15
10308;;Argentina;;;-32.0;-69.0
10358;;Argentina;;;-34.0;-58.0
10369;;Argentina;;;-32.0;-62.0
10421;;Argentina;;;-39.0;-62.0
10423;;Argentina;;;-27.0;-55.0
10446;;Argentina;;;-36.0;-63.0
10453;;Argentina;;;-34.0;-60.0
10470;;Argentina;;;-27.0;-58.0
10477;;Argentina;;;-31.0;-58.0
10502;;Argentina;;;-32.0;-62.0
10523;;Argentina;;;-26.0;-53.0
10544;;Argentina;;;-36.12;-61.04
10497;;Argentina;;;-32.0;-58.0
10114;;Argentina;;;-31.0;-60.0
17364;;Argentina;;;-25.0;-64.0
10154;;Argentina;;;-34.0;-58.0
